Device Name,Device ID,Sensor Name,Sensor ID,Date,Message,Total CPU
XTS-201-12 (VM),3395,CPU Load,3406,02-09-2024 05:31:39,Not breach,50.0
XTS-201-21 (VM),3072,CPU Load,3121,05-09-2024 15:16:53,Not breach,29.0
XTS-201-22 (VM),3073,CPU Load,3089,03-09-2024 05:31:12,Breach,74.0
XTS_201-23 (VM),3074,CPU Load,3106,04-09-2024 05:31:16,Breach,93.0
XTS_201-23 (VM),3074,CPU Load,3106,05-09-2024 05:31:16,Breach,87.0
XTS-ADMIN-201-57 (VM),3264,CPU Load,3277,01-09-2024 06:00:50,Breach,100.0
XTS-ADMIN-201-57 (VM),3264,CPU Load,3277,02-09-2024 06:00:51,Breach,100.0
XTS-ADMIN-201-57 (VM),3264,CPU Load,3277,03-09-2024 06:00:51,Breach,75.0
XTS-ADMIN-201-57 (VM),3264,CPU Load,3277,04-09-2024 06:00:51,Breach,74.0
XTS-ADMIN-201-57 (VM),3264,CPU Load,3277,05-09-2024 06:00:51,Breach,99.0
5Paisa-201-31 (192.168.201.31),14684,CPU Load,14709,03-09-2024 05:31:34,Not breach,31.0
5Paisa-201-32  (192.168.201.32),14654,SNMP CPU Load,16953,04-09-2024 09:29:50,Not breach,36.0
5Paisa-201-33 (192.168.201.33),14699,CPU Load,14725,02-09-2024 05:30:56,Breach,81.0
5Paisa-201-35 (192.168.201.35),17671,CPU Load,17675,04-09-2024 06:51:27,Not breach,9.0
XTS-Admin-52-11 (Jigar)(DC Site -10.1.52.11) (VM),4968,CPU Load,4973,02-09-2024 09:54:04,Not breach,14.0
XTS-172.16.6.11 (Jigar),4999,CPU Load,5015,04-09-2024 20:06:31,Not breach,55.0
XTS-172.16.6.12 (Jigar),2376,CPU Load,3414,03-09-2024 13:57:38,Not breach,33.0
TBT-172.16.6.13 (Jigar),2412,CPU Load,2430,04-09-2024 08:28:57,Not breach,9.0
XTS-11-12 (VM),5485,CPU Load,5493,03-09-2024 00:01:52,Not breach,58.0
XTS-11-13 (VM),5554,CPU Load,5631,04-09-2024 14:41:20,Not breach,18.0
XTS-11-14 (VM),5499,CPU Load,5514,02-09-2024 09:28:21,Not breach,15.0
5Paisa-Xts-API-11-19,17679,CPU Load,17703,03-09-2024 06:33:45,Not breach,10.0
IIFL-12-11 (10.20.12.11),13872,CPU Load,13876,03-09-2024 05:01:35,Not breach,25.0
IIFL-12-12 (10.20.12.12),13873,CPU Load,13900,05-09-2024 05:01:22,Not breach,31.0
IIFL-12-13 (10.20.12.13),13919,CPU Load,13950,03-09-2024 11:15:08,Not breach,26.0
IIFL-12-14 (10.20.12.14),13924,SNMP CPU Load,14653,05-09-2024 05:01:15,Not breach,47.0
IIFL-12-15 (10.20.12.15),13939,CPU Load,13983,01-09-2024 09:01:47,Not breach,2.0
IIFL-12-16 (10.20.12.16),17539,CPU Load,17543,03-09-2024 11:15:38,Not breach,16.0
IIFL-12-17 (10.20.12.17),13999,CPU Load,14026,01-09-2024 03:01:52,Not breach,1.0
IIFL-12-19 (10.20.12.19),13904,CPU Load,16952,02-09-2024 15:11:34,Not breach,59.0
IIFL-12-20 (10.20.12.20),14000,CPU Load,14016,03-09-2024 05:01:05,Breach,100.0
IIFL-12-20 (10.20.12.20),14000,CPU Load,14016,04-09-2024 05:01:02,Breach,82.0
IIFL-12-22 (10.20.12.22),14031,CPU Load,14041,01-09-2024 23:43:33,Not breach,8.0
IIFL-11-11 (10.20.11.11),16127,CPU Load,16135,05-09-2024 18:19:35,Not breach,54.0
IIFL-11-12 (10.20.11.12),16128,CPU Load,16150,03-09-2024 05:01:39,Not breach,39.0
IIFL-11-13 (10.20.11.13),16129,CPU Load,16171,05-09-2024 15:19:11,Not breach,49.0
IIFL-11-18 (10.20.11.18),17314,CPU Load,17317,04-09-2024 05:01:13,Not breach,33.0
IIFL-11-20 ( 10.20.11.20),16130,CPU Load,16174,05-09-2024 05:01:02,Breach,74.0
IIFL-11-22 (10.20.11.22),16131,CPU Load,16206,02-09-2024 09:44:25,Not breach,7.0
iifl-11-16 (10.20.11.16),17663,CPU Load,17672,03-09-2024 06:44:12,Not breach,10.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,02-09-2024 23:36:37,Breach,75.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,02-09-2024 23:37:37,Breach,73.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,02-09-2024 23:38:37,Breach,72.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,02-09-2024 23:39:37,Breach,72.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,03-09-2024 23:36:38,Breach,74.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,03-09-2024 23:37:38,Breach,75.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,03-09-2024 23:38:38,Breach,75.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,04-09-2024 23:36:39,Breach,71.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,04-09-2024 23:37:39,Breach,71.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,04-09-2024 23:38:39,Breach,71.0
Panch-5612 (10.1.56.12),10843,CPU Load,10858,04-09-2024 23:39:39,Breach,71.0
Webull-55-11 (10.4.55.11)(CDC-104/10),10223,CPU Load,10227,04-09-2024 13:29:24,Breach,76.0
Webull-55-11 (10.4.55.11)(CDC-104/10),10223,CPU Load,10227,04-09-2024 13:31:24,Breach,73.0
Webull-55-12 (10.4.55.12)(CDC-104/10),10118,CPU Load,10131,04-09-2024 13:00:36,Not breach,26.0
Webull-55-13 (10.4.55.13)(CDC-104/10),10154,CPU Load,10180,04-09-2024 13:27:43,Not breach,7.0
Webull-55-14 (10.4.55.14)(CDC-104/10),10139,CPU Load,10202,04-09-2024 13:01:07,Not breach,47.0
Agroy-56-11 (10.5.56.11),10758,CPU Load,10880,02-09-2024 06:20:47,Breach,94.0
Agroy-56-11 (10.5.56.11),10758,CPU Load,10880,04-09-2024 05:46:48,Breach,99.0
Agroy-56-11 (10.5.56.11),10758,CPU Load,10880,05-09-2024 05:47:00,Breach,88.0
Agroy-56-12 (10.5.56.12),10759,CPU Load,10901,04-09-2024 06:49:45,Not breach,32.0
lkp-100-43 (172.31.100.43),15839,CPU Load,15870,01-09-2024 00:01:15,Not breach,1.0
LKP-COMMON-45 (172.31.100.45),15933,CPU Load,15943,02-09-2024 03:19:13,Not breach,3.0
lkp-100-46 (172.31.100.46),15893,CPU Load,15946,05-09-2024 06:41:03,Not breach,2.0
LKP-WebSrv-50 (172.31.100.50),15965,CPU Load,15991,02-09-2024 07:12:42,Not breach,8.0
LKP-BSE-IML-51 (172.31.100.51),15844,CPU Load,15853,04-09-2024 13:21:44,Not breach,20.0
IOBManager-56 (172.31.100.56),15950,CPU Load,15959,01-09-2024 01:27:14,Not breach,4.0
lkp-100-57 (172.31.100.57),15962,CPU Load,16081,05-09-2024 06:40:51,Not breach,3.0
BrokerSVR-100-58  (172.31.100.58),15836,CPU Load,15994,01-09-2024 03:15:39,Not breach,2.0
LKP-NSE-TAP-66 (172.31.100.66),15966,CPU Load,15980,01-09-2024 07:30:07,Not breach,24.0
LKP-Milicent-110 (172.31.100.110),15967,CPU Load,16018,04-09-2024 13:29:02,Not breach,16.0
LKP-API-112 (172.31.100.112),15968,CPU Load,16021,01-09-2024 18:42:44,Not breach,8.0
LKP-IOB-114 (172.31.100.114),15971,CPU Load,16090,02-09-2024 06:25:36,Breach,99.0
LKP-IOB-114 (172.31.100.114),15971,CPU Load,16090,03-09-2024 06:25:37,Breach,99.0
LKP-IOB-114 (172.31.100.114),15971,CPU Load,16090,05-09-2024 06:43:38,Breach,99.0
LKP-Dealer-160 (172.31.100.160),15969,CPU Load,16098,03-09-2024 04:16:28,Not breach,13.0
LKP-ODIN-190 (172.31.100.190),15970,CPU Load,16044,04-09-2024 13:24:56,Not breach,5.0
LKP-DbBackup-224 (172.31.100.224),16825,CPU Load,16855,05-09-2024 05:26:39,Not breach,9.0
Gift-BO-Live (172.31.100.131),16892,CPU Load,16896,01-09-2024 03:24:04,Not breach,4.0
Gift-BO-UAT (172.31.100.162),16900,CPU Load,16904,05-09-2024 09:40:05,Not breach,11.0
lkp-100-43 (172.17.100.43),15078,CPU Load,15091,02-09-2024 15:01:12,Not breach,59.0
LKP-TECHNO-45 (172.17.100.45),15217,CPU Load,15246,05-09-2024 01:14:41,Not breach,64.0
lkp-100-46 (172.17.100.46),15113,CPU Load,15115,02-09-2024 09:17:42,Not breach,47.0
LKP-BSE-IML-51 (172.17.100.51),15060,CPU Load,15073,02-09-2024 19:28:25,Breach,99.0
LKP-BSE-IML-51 (172.17.100.51),15060,CPU Load,15073,03-09-2024 19:45:07,Breach,99.0
LKP-BSE-IML-51 (172.17.100.51),15060,CPU Load,15073,05-09-2024 09:23:07,Breach,73.0
LKP-BSE-IML-51 (172.17.100.51),15060,CPU Load,15073,05-09-2024 19:08:24,Breach,100.0
IOBManager-56 (172.17.100.56),15343,CPU Load,15409,02-09-2024 01:28:31,Breach,99.0
IOBManager-56 (172.17.100.56),15343,CPU Load,15409,02-09-2024 19:33:32,Breach,100.0
IOBManager-56 (172.17.100.56),15343,CPU Load,15409,03-09-2024 19:45:54,Breach,87.0
IOBManager-56 (172.17.100.56),15343,CPU Load,15409,05-09-2024 19:09:32,Breach,87.0
lkp-scanner-57 (172.17.100.57),15122,CPU Load,15124,05-09-2024 07:23:44,Not breach,24.0
BrokerSVR-100-58 (172.17.100.58),15036,CPU Load,15057,02-09-2024 09:12:41,Not breach,56.0
LKP-NSE-TAP-66 (172.17.100.66),15431,CPU Load,15461,02-09-2024 01:27:11,Breach,100.0
LKP-NSE-TAP-66 (172.17.100.66),15431,CPU Load,15461,03-09-2024 19:45:13,Breach,99.0
LKP-NSE-TAP-66 (172.17.100.66),15431,CPU Load,15461,04-09-2024 19:23:13,Breach,99.0
LKP-NSE-TAP-66 (172.17.100.66),15431,CPU Load,15461,05-09-2024 19:08:30,Breach,100.0
LKP-IOB-114  (172.17.100.114),15334,CPU Load,15371,02-09-2024 08:29:41,Breach,91.0
LKP-IOB-114  (172.17.100.114),15334,CPU Load,15371,03-09-2024 08:29:26,Breach,99.0
LKP-IOB-114  (172.17.100.114),15334,CPU Load,15371,04-09-2024 08:25:43,Breach,99.0
LKP-IOB-114  (172.17.100.114),15334,CPU Load,15371,05-09-2024 08:19:43,Breach,99.0
LKP-UAT-151 (172.16.100.151),15287,CPU Load,15289,02-09-2024 10:10:38,Breach,87.0
LKP-UAT-151 (172.16.100.151),15287,CPU Load,15289,03-09-2024 08:20:44,Breach,80.0
lkp-100-152 (172.16.100.152),15131,CPU Load,15133,03-09-2024 13:59:48,Not breach,65.0
IOB-Dealer-160 (172.17.100.160),15353,CPU Load,15376,02-09-2024 08:27:47,Breach,100.0
IOB-Dealer-160 (172.17.100.160),15353,CPU Load,15376,04-09-2024 08:33:10,Breach,88.0
IOB-Dealer-160 (172.17.100.160),15353,CPU Load,15376,05-09-2024 08:21:05,Breach,100.0
LKP-ODIN-190  (172.17.100.190),15352,CPU Load,15422,02-09-2024 07:33:11,Breach,100.0
LKP-DBBackup-224 (172.17.100.224),16824,CPU Load,16858,02-09-2024 21:11:28,Not breach,17.0
IOB-Dealer-162 (172.17.100.162),17386,SNMP CPU Load,17393,03-09-2024 04:48:53,Not breach,14.0
LKP-WebSrv-50 (172.17.100.50),15218,CPU Load,15249,N/A,Not breach,
Torus_10.161.51.11,16325,CPU Load,16353,04-09-2024 05:47:50,Not breach,42.0
Torus_10.161.51.12,16327,CPU Load,16369,03-09-2024 06:31:04,Not breach,16.0
GRD-54-34-XTS(192.168.54.34),16428,CPU Load,16544,03-09-2024 08:06:07,Not breach,58.0
GRD-54-35-XTS(192.168.54.35),16429,CPU Load,16548,04-09-2024 08:15:50,Not breach,23.0
GRD_54.91-C02,17575,CPU Load,17596,05-09-2024 08:02:46,Not breach,35.0
BGSE-10.101(151.1.10.101)(VM),16622,CPU Load,16644,02-09-2024 17:34:19,Not breach,57.0
